"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0042 hourly","$0.0016 hourly","$0.0020 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0047 hourly","$0.0018 hourly","$0.0026 hourly","$0.0093 hourly","$0.0064 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0052 hourly","$0.0019 hourly","$0.0025 hourly","$0.0098 hourly","$0.0065 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","$0.0058 hourly","$0.0022 hourly","unavailable","$0.0081 hourly","$0.0045 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0084 hourly","$0.0032 hourly","$0.0045 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0094 hourly","$0.0035 hourly","$0.0052 hourly","$0.0186 hourly","$0.0127 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0104 hourly","$0.0039 hourly","$0.0050 hourly","$0.0196 hourly","$0.0131 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","$0.0116 hourly","$0.0044 hourly","$0.0044 hourly","$0.0162 hourly","$0.0089 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0168 hourly","$0.0063 hourly","$0.0082 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0188 hourly","$0.0071 hourly","$0.0110 hourly","$0.0372 hourly","$0.0255 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0208 hourly","$0.0078 hourly","$0.0108 hourly","$0.0392 hourly","$0.0262 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0230 hourly","$0.0087 hourly","$0.0097 hourly","$0.0320 hourly","$0.0164 hourly"
"A1 Medium","a1.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0255 hourly","$0.0096 hourly","$0.0079 hourly","unavailable","unavailable"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0336 hourly","$0.0126 hourly","$0.0159 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0340 hourly","$0.0128 hourly","$0.0142 hourly","unavailable","unavailable"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0361 hourly","$0.0139 hourly","$0.0178 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0376 hourly","$0.0142 hourly","$0.0188 hourly","$0.0560 hourly","$0.0325 hourly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0384 hourly","$0.0144 hourly","$0.0173 hourly","unavailable","unavailable"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0385 hourly","$0.0146 hourly","$0.0179 hourly","unavailable","unavailable"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0408 hourly","$0.0161 hourly","$0.0160 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0416 hourly","$0.0156 hourly","$0.0125 hourly","$0.0600 hourly","$0.0341 hourly"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0432 hourly","$0.0161 hourly","$0.0175 hourly","unavailable","unavailable"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0452 hourly","$0.0170 hourly","$0.0190 hourly","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","$0.0464 hourly","$0.0174 hourly","$0.0208 hourly","$0.0644 hourly","$0.0327 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0504 hourly","$0.0190 hourly","$0.0172 hourly","unavailable","unavailable"
"A1 Large","a1.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0510 hourly","$0.0192 hourly","$0.0224 hourly","unavailable","unavailable"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0536 hourly","$0.0212 hourly","$0.0190 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB                 NVMe SSD","Up to 10 Gigabit","$0.0576 hourly","$0.0217 hourly","$0.0177 hourly","unavailable","unavailable"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0672 hourly","$0.0253 hourly","$0.0317 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0680 hourly","$0.0256 hourly","$0.0302 hourly","unavailable","unavailable"
"C7G Large","c7g.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0723 hourly","$0.0277 hourly","$0.0330 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0752 hourly","$0.0283 hourly","$0.0330 hourly","$0.1028 hourly","$0.0559 hourly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0765 hourly","$0.0293 hourly","$0.0310 hourly","$0.1685 hourly","$0.1213 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0768 hourly","$0.0289 hourly","$0.0324 hourly","unavailable","unavailable"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0770 hourly","$0.0291 hourly","$0.0368 hourly","unavailable","unavailable"
